y_test,y_pred
1.5,1.4208158
2.8,2.7542584
1.8,1.8012875
1.49,0.83357525
1.4,1.9777508
1.56,1.9172852
0.85,1.2443537
0.99,0.7851464
4.7,4.5905495
2.8,1.3396124
0.69,0.9421974
0.2,0.45251635
0.8,0.8711481
4.4,4.476008
4.0,4.3377876
2.3,1.407534
2.4,1.8231997
1.9,1.9792202
0.24,0.6129683
1.77,1.3848386
0.1,0.5379455
1.91,1.6196309
3.77,1.7135338
0.93,1.0986632
0.85,1.1372862
1.5,1.5621606
0.7,0.6613951
1.6,1.8854816
1.6,1.4123076
1.73,1.0326273
1.54,1.4633263
0.34,0.6668238
0.9,0.8120543
4.7,4.5431933
0.38,1.0270638
1.73,1.238804
1.98,1.5874848
0.3,0.554556
1.32,1.2117785
0.9,0.91795075
2.5,1.4425876
5.3,4.590322
3.9,4.3275375
4.0,4.4694395
3.0,1.4181981
3.5,2.7601492
2.3,2.5020902
1.2,1.4503129
2.0,1.479653
0.7,0.9676322
1.41,1.2132305
1.64,0.7925505
4.6,4.4873743
1.7,1.8901532
4.6,4.6516747
0.53,0.86325306
2.0,2.1428666
3.2,2.7198997
1.2,1.3404771
1.0,1.033319
1.0,1.6035801
1.8,0.6875954
2.6,2.7839587
1.0,1.4107788
1.8,1.5881565
1.14,1.2714945
1.0,0.5165286
1.31,1.0986737
1.4,1.4057717
0.48,0.9217762
3.0,2.7517385
2.9,1.9324111
1.4,1.3271021
4.4,4.3092537
2.5,2.7972822
1.4,1.3897696
0.9,1.0512153
1.7,1.3776343
4.3,4.664554
1.5,1.4104152
1.6,0.7011794
2.02,2.15724
0.26,0.99819434
2.7,1.0214119
0.9,0.8704756
0.5,0.8018718
2.1,1.4264046
0.56,0.92282414
4.3,4.4632974
1.04,1.1689601
2.6,1.6155269
0.7,0.8565098
0.4,0.6590228
1.2,1.5404149
2.0,2.420354
2.41,0.8866084
2.8,2.6045952
3.2,3.4692373
1.09,1.2121979
0.96,0.59725475
4.3,4.7238417
0.5,0.91813326
0.69,0.8788407
0.24,0.8004981
1.4,1.5109901
1.91,1.3924509
0.97,0.62999254
4.3,4.4651184
0.4,0.5247429
0.6,1.2320853
4.4,4.5454245
1.44,1.7185836
1.53,2.0686185
0.81,0.9810844
1.13,1.0652957
4.7,4.404587
1.3,1.524214
1.1,1.1332841
3.9,4.272507
1.1,1.4243053
0.43,0.5309627
0.3,0.6733282
0.79,0.82570434
0.98,0.78113806
2.81,1.484665
1.47,1.066663
2.1,2.0675588
1.0,1.1723815
4.8,4.317377
0.42,0.48485693
1.8,2.3079836
0.38,0.74516374
1.5,1.399893
4.9,4.2569084
2.4,2.6383417
1.2,1.5095675
2.7,2.1049519
1.1,1.4277822
0.0,0.58036906
1.8,2.3458421
0.89,0.87713253
0.76,0.8984498
1.3,1.7378318
1.0,1.1439981
4.2,4.4068723
0.64,1.191458
2.8,2.2458127
1.0,1.2839404
0.57,0.91437525
1.04,1.0040816
1.5,1.1336337
2.7,2.6482885
1.5,1.5137223
1.74,1.8738286
4.6,4.4632974
0.88,1.0359608
0.1,0.4887761
3.1,5.14834
0.8,0.6946893
0.33,0.5931811
0.1,0.5729121
1.4,1.3224012
1.78,1.4727312
0.8,0.99358505
2.3,1.29496
4.3,4.5094614
0.44,0.6455478
2.4,2.3427343
1.6,1.6384497
1.7,1.5167085
1.4,1.7908626
0.36,0.543388
0.77,0.9644155
1.39,1.8884624
1.7,2.0562446
4.5,4.369441
0.2,0.584916
0.5,0.4333471
0.71,0.6943574
0.81,0.89298403
0.6,0.7661526
2.1,1.9943367
0.49,1.0075313
1.2,1.3199431
2.6,2.7188475
1.1,0.99723685
1.24,1.057896
0.62,0.9486359
2.8,3.2137434
1.4,1.3522257
2.12,0.8939506
0.83,0.55345386
0.4,1.0824068
2.8,1.9638993
1.8,2.6259305
4.3,4.271434
1.0,1.3148715
0.84,1.3525131
0.82,0.90278953
1.4,1.4370273
1.1,1.0257721
4.7,4.496838
1.8,1.3860664
1.04,0.9849249
1.71,1.2612121
5.2,4.44832
0.53,0.70457655
1.9,1.5196452
1.56,0.70201576
0.44,0.97452253
3.9,2.6457605
1.7,1.0048733
1.3,1.2208818
1.36,1.1699568
2.7,1.7001191
1.51,1.0386341
4.6,4.5139
1.5,2.3571484
2.8,2.7821963
4.5,4.4958234
1.1,1.2210287
0.2,0.63755584
2.1,1.5590119
1.4,1.643566
1.2,1.3928806
1.1,1.3130132
1.2,1.3325511
1.58,1.4143348
1.3,1.4534491
1.84,1.3510538
4.9,4.54509
0.83,0.9038246
0.88,0.82700455
1.71,1.5060436
0.69,0.89641964
1.5,1.7299494
1.9,1.4648339
1.1,1.0535948
2.7,2.0783355
0.5,1.0190129
2.2,2.3995392
1.3,1.3360888
1.5,1.4776558
1.7,1.6810806
1.3,1.2742871
5.3,4.4541693
1.49,0.8736114
2.4,1.1201999
0.83,1.5090735
1.8,2.066493
1.8,2.109574
0.48,0.8064602
2.46,1.0732263
0.8,0.69489217
1.8,1.6762632
0.72,1.3048009
4.3,4.4694395
1.83,1.8522853
1.29,1.0120959
1.2,1.5167085
0.9,1.0374392
2.5,2.703064
0.54,1.1380272
3.1,3.1231012
5.3,4.8670316
2.7,2.8581467
1.8,1.7715565
2.8,2.0089254
1.53,1.1312184
2.5,2.7779717
0.9,1.1395566
0.8,1.1723815
1.33,1.0615467
0.47,0.6655931
2.0,1.6047893
1.2,1.1194205
1.1,0.7426108
0.8,0.5630601
2.6,2.089823
2.9,2.2021055
2.7,2.0603478
0.29,0.65305614
1.1,0.8199327
0.1,0.70524544
5.9,4.4098825
0.64,0.8344898
0.8,0.9131621
0.09,0.7851464
1.08,1.0316306
4.8,4.467052
0.85,1.3741434
0.9,1.1091127
4.6,4.7171655
1.2,1.1758627
0.8,1.4263448
1.3,1.3328046
2.4,2.3322752
3.1,1.6285486
2.5,1.5789459
4.4,4.341128
1.52,1.8149462
2.2,1.6994582
2.6,1.4660379
0.1,0.5057817
0.3,0.74236655
2.3,0.7041115
0.32,0.8632501
1.3,1.3906997
1.2,1.1672584
2.11,1.0374837
2.0,2.2134073
0.82,1.0127329
4.5,4.517198
1.62,1.9816102
1.5,1.4060063
1.3,1.1585183
4.5,4.4350185
2.3,2.143081
1.3,1.6047893
4.1,4.387693
1.9,1.5440985
1.89,0.90875566
4.0,1.5776957
1.0,0.8462184
0.6,0.4333471
1.7,1.7583263
1.9,1.868684
1.32,1.3849294
4.9,4.549376
1.8,1.3260611
1.2,1.1646425
0.5,1.2072558
0.9,1.0821345
0.4,0.7443384
